shipment_id,ship_date,order_id,carrier_id,carrier_name,service_level,origin_region,destination_zone,package_weight_lb,package_length_in,package_width_in,package_height_in,billed_weight_lb,base_cost,fuel_surcharge,residential_fee,delivery_area_fee,oversized_fee,address_correction_fee,ltl_handling_fee,total_shipping_cost,delivered_days,dimensional_weight_lb,billed_above_actual_flag,non_fuel_surcharge_total,cost_per_billed_lb,weight_delta_lb,base_rate_per_lb,proposed_rate_per_lb,proposed_cost,row_potential_savings,savings_pct,lane
SHP100024,2025-12-05,ORD801762,CR004,XPO LTL,Standard LTL,West,6,181.22,51,41,39,587.0,560.58,65.7,0.0,0.0,0.0,0.0,24.0,650.28,4,586.68,1,24.0,1.11,405.78,0.955,0.888,545.26,105.02,0.1615,West → Zone 6
SHP100025,2025-05-21,ORD803569,CR001,UPS,Ground,West,5,2.11,12,11,20,19.0,145.16,22.7,0.0,0.0,0.0,0.0,0.0,167.86,2,18.99,1,0.0,8.83,16.89,7.64,6.96,132.24,35.62,0.2122,West → Zone 5
SHP100026,2024-06-20,ORD801750,CR001,UPS,Ground,Midwest,3,15.08,20,13,20,37.5,313.87,44.99,0.0,0.0,0.0,0.0,0.0,358.87,5,37.41,1,0.0,9.57,22.42,8.37,7.635,286.31,72.56,0.2022,Midwest → Zone 3
SHP100027,2025-12-10,ORD800390,CR003,USPS,Ground Advantage,Northeast,2,5.51,12,16,18,25.0,151.75,22.32,0.0,0.0,0.0,0.0,0.0,174.07,3,24.86,1,0.0,6.96,19.49,6.07,5.925,148.12,25.95,0.1491,Northeast → Zone 2
SHP100028,2025-09-20,ORD800130,CR001,UPS,Ground,Midwest,4,19.65,23,10,6,20.0,178.8,29.74,4.95,0.0,0.0,0.0,0.0,213.49,2,9.93,1,4.95,10.67,0.35,8.94,8.021,165.37,48.12,0.2254,Midwest → Zone 4
SHP100029,2024-07-01,ORD801804,CR002,FedEx,Express Saver,South,5,5.86,25,16,21,60.5,1271.71,170.59,0.0,0.0,0.0,0.0,0.0,1442.3,7,60.43,1,0.0,23.84,54.64,21.02,18.613,1126.09,316.21,0.2192,South → Zone 5
SHP100030,2025-02-19,ORD803500,CR001,UPS,Ground,South,3,7.63,15,18,13,25.5,213.43,27.09,4.95,0.0,0.0,0.0,0.0,245.47,1,25.25,1,4.95,9.63,17.87,8.37,7.635,199.64,45.83,0.1867,South → Zone 3
SHP100031,2025-10-31,ORD800938,CR002,FedEx,Ground,Midwest,5,4.96,24,17,18,53.0,825.21,107.89,0.0,0.0,18.5,0.0,0.0,951.6,5,52.83,1,18.5,17.95,48.04,15.57,14.052,763.26,188.34,0.1979,Midwest → Zone 5
SHP100032,2025-03-15,ORD803845,CR002,FedEx,2Day,West,5,6.93,25,24,22,95.0,2292.35,271.54,4.95,0.0,0.0,0.0,0.0,2568.84,5,94.96,1,4.95,27.04,88.07,24.13,21.97,2092.1,476.74,0.1856,West → Zone 5
SHP100033,2024-02-23,ORD800892,CR003,USPS,Priority Mail,South,5,4.52,13,6,21,12.0,101.4,18.22,0.0,0.0,0.0,0.0,0.0,119.62,4,11.78,1,0.0,9.97,7.48,8.45,8.205,98.46,21.16,0.1769,South → Zone 5
SHP100034,2024-11-24,ORD800974,CR003,USPS,Ground Advantage,Northeast,2,2.19,6,5,15,3.5,12.56,1.59,0.0,0.0,0.0,0.0,0.0,14.15,3,3.24,1,0.0,4.04,1.31,3.59,3.514,12.3,1.85,0.1307,Northeast → Zone 2
SHP100035,2024-09-07,ORD803930,CR002,FedEx,Ground,West,7,4.51,16,8,16,15.0,135.6,18.93,4.95,0.0,0.0,0.0,0.0,159.48,3,14.73,1,4.95,10.63,10.49,9.04,8.175,127.58,31.9,0.2,West → Zone 7
SHP100036,2024-10-15,ORD802719,CR003,USPS,Ground Advantage,South,3,13.63,13,7,9,14.0,70.84,12.08,0.0,0.0,0.0,0.0,0.0,82.92,5,5.89,1,0.0,5.92,0.37,5.06,4.914,68.8,14.12,0.1703,South → Zone 3
SHP100037,2025-10-31,ORD801007,CR001,UPS,Ground,Northeast,4,11.13,15,10,5,11.5,81.31,12.14,0.0,0.0,0.0,0.0,0.0,93.45,3,5.4,1,0.0,8.13,0.37,7.07,6.375,73.31,20.14,0.2155,Northeast → Zone 4
SHP100038,2025-02-17,ORD801040,CR004,XPO LTL,Standard LTL,West,3,207.07,46,39,21,271.5,177.02,28.62,0.0,0.0,0.0,0.0,0.0,205.64,8,271.04,1,0.0,0.76,64.43,0.652,0.621,168.6,37.04,0.1801,West → Zone 3
SHP100039,2025-02-04,ORD803999,CR001,UPS,Ground,West,8,16.21,21,17,18,46.5,522.2,83.54,4.95,0.0,0.0,12.0,0.0,622.68,1,46.23,1,16.95,13.39,30.29,11.23,10.327,497.16,125.52,0.2016,West → Zone 8
SHP100040,2025-07-23,ORD803530,CR004,XPO LTL,Standard LTL,South,4,333.25,32,46,46,487.5,372.94,62.35,0.0,0.0,0.0,0.0,0.0,435.29,4,487.14,1,0.0,0.89,154.25,0.765,0.719,350.51,84.78,0.1948,South → Zone 4
SHP100041,2025-01-16,ORD801855,CR002,FedEx,2Day,West,4,7.5,23,9,22,33.0,470.58,84.1,4.95,0.0,0.0,0.0,0.0,559.63,2,32.76,1,4.95,16.96,25.5,14.26,12.802,427.42,132.21,0.2362,West → Zone 4
SHP100042,2025-06-07,ORD802946,CR002,FedEx,Ground,Northeast,5,5.57,11,18,17,24.5,239.85,24.33,0.0,0.0,0.0,0.0,0.0,264.18,6,24.22,1,0.0,10.78,18.93,9.79,8.841,216.6,47.58,0.1801,Northeast → Zone 5
SHP100043,2025-06-10,ORD800583,CR001,UPS,Ground,South,4,5.28,7,12,9,5.5,33.77,3.81,0.0,0.0,0.0,0.0,0.0,37.58,4,5.44,1,0.0,6.83,0.22,6.14,5.605,30.83,6.75,0.1796,South → Zone 4
SHP100044,2025-12-17,ORD803117,CR002,FedEx,Ground,Northeast,8,11.34,14,16,4,11.5,110.75,19.12,0.0,0.0,0.0,0.0,0.0,129.86,2,6.45,1,0.0,11.29,0.16,9.63,8.559,98.43,31.43,0.242,Northeast → Zone 8
SHP100045,2025-08-14,ORD803174,CR001,UPS,Ground,Northeast,5,7.73,21,4,5,8.0,53.68,9.16,4.95,0.0,0.0,0.0,0.0,67.79,3,3.02,1,4.95,8.47,0.27,6.71,6.073,53.53,14.26,0.2104,Northeast → Zone 5
SHP100046,2024-03-30,ORD800250,CR003,USPS,Ground Advantage,South,6,19.17,9,12,10,19.5,124.8,15.46,0.0,0.0,0.0,0.0,0.0,140.26,5,7.77,1,0.0,7.19,0.33,6.4,6.28,122.46,17.8,0.1269,South → Zone 6
SHP100047,2025-04-03,ORD801266,CR002,FedEx,Express Saver,Northeast,5,14.53,6,12,13,15.0,159.3,25.17,0.0,0.0,0.0,0.0,0.0,184.47,3,6.73,1,0.0,12.3,0.47,10.62,9.38,140.7,43.77,0.2373,Northeast → Zone 5
SHP100048,2025-07-20,ORD804130,CR003,USPS,Priority Mail,Northeast,4,4.92,9,21,22,30.0,296.7,53.32,0.0,0.0,0.0,0.0,0.0,350.02,2,29.91,1,0.0,11.67,25.08,9.89,9.583,287.49,62.53,0.1786,Northeast → Zone 4
SHP100049,2024-07-25,ORD803811,CR002,FedEx,Express Saver,West,6,7.3,23,8,7,9.5,96.04,15.5,4.95,0.0,0.0,0.0,0.0,116.5,1,9.27,1,4.95,12.26,2.2,10.11,9.001,90.46,26.04,0.2235,West → Zone 6
SHP100050,2025-02-21,ORD800374,CR002,FedEx,2Day,South,6,3.65,21,11,24,40.0,643.6,71.13,0.0,0.0,18.5,0.0,0.0,733.23,7,39.88,1,18.5,18.33,36.35,16.09,14.491,598.14,135.09,0.1842,South → Zone 6
SHP100051,2025-07-06,ORD804023,CR003,USPS,Ground Advantage,South,3,2.22,23,5,10,8.5,36.8,4.83,0.0,0.0,0.0,0.0,0.0,41.64,3,8.27,1,0.0,4.9,6.28,4.33,4.199,35.69,5.95,0.1429,South → Zone 3
SHP100052,2024-10-29,ORD803192,CR003,USPS,Ground Advantage,Midwest,4,4.8,12,4,8,5.0,23.9,3.57,0.0,0.0,0.0,0.0,0.0,27.47,2,2.76,1,0.0,5.49,0.2,4.78,4.688,23.44,4.03,0.1467,Midwest → Zone 4
SHP100053,2025-11-17,ORD801043,CR002,FedEx,Express Saver,Northeast,3,1.19,18,18,9,21.0,244.23,26.61,4.95,0.0,0.0,0.0,0.0,275.79,4,20.98,1,4.95,13.13,19.81,11.63,10.521,225.89,49.9,0.1809,Northeast → Zone 3
SHP100054,2024-01-01,ORD803249,CR002,FedEx,2Day,South,5,8.24,13,23,24,52.0,1254.76,194.33,4.95,0.0,0.0,0.0,0.0,1454.04,4,51.63,1,4.95,27.96,43.76,24.13,21.97,1147.39,306.65,0.2109,South → Zone 5
SHP100055,2024-10-20,ORD801198,CR001,UPS,Ground,Midwest,3,0.97,13,11,21,22.0,184.14,29.18,4.95,0.0,0.0,0.0,0.0,218.27,6,21.6,1,4.95,9.92,21.03,8.37,7.635,172.92,45.35,0.2078,Midwest → Zone 3
SHP100056,2024-11-06,ORD802408,CR001,UPS,Ground,Northeast,7,14.23,20,15,11,24.0,255.84,44.39,0.0,0.0,0.0,0.0,0.0,300.23,4,23.74,1,0.0,12.51,9.77,10.66,9.772,234.53,65.7,0.2188,Northeast → Zone 7
SHP100057,2024-08-07,ORD801667,CR002,FedEx,Ground,Midwest,3,5.38,19,16,12,26.5,228.16,28.09,4.95,0.0,0.0,0.0,0.0,261.2,5,26.24,1,4.95,9.86,21.12,8.61,7.8,211.65,49.55,0.1897,Midwest → Zone 3
SHP100058,2025-03-29,ORD803338,CR003,USPS,Ground Advantage,Midwest,6,6.05,10,24,18,31.5,247.27,36.79,4.95,0.0,0.0,0.0,0.0,289.02,4,31.08,1,4.95,9.18,25.45,7.85,7.675,246.71,42.31,0.1464,Midwest → Zone 6
SHP100059,2025-09-13,ORD803364,CR003,USPS,Ground Advantage,South,5,15.48,11,19,5,15.5,92.23,9.41,4.95,0.0,0.0,0.0,0.0,106.59,3,7.52,1,4.95,6.88,0.02,5.95,5.764,94.29,12.3,0.1154,South → Zone 5
SHP100060,2024-02-12,ORD800372,CR003,USPS,Ground Advantage,South,3,13.11,14,22,18,40.0,260.8,36.08,4.95,0.0,0.0,0.0,0.0,301.83,4,39.88,1,4.95,7.55,26.89,6.52,6.405,261.15,40.68,0.1348,South → Zone 3
SHP100061,2025-06-22,ORD803654,CR002,FedEx,Ground,South,8,9.54,21,5,20,15.5,149.27,24.76,4.95,6.75,0.0,0.0,0.0,185.72,5,15.11,1,11.7,11.98,5.96,9.63,8.559,144.36,41.36,0.2227,South → Zone 8
SHP100062,2024-08-28,ORD800009,CR001,UPS,Next Day Air,Northeast,8,20.1,16,13,18,27.0,606.42,89.83,0.0,0.0,0.0,0.0,0.0,696.25,2,26.94,1,0.0,25.79,6.9,22.46,20.598,556.15,140.1,0.2012,Northeast → Zone 8
SHP100063,2025-09-24,ORD801462,CR003,USPS,Ground Advantage,Midwest,6,7.71,8,7,21,8.5,48.2,8.1,0.0,0.0,0.0,0.0,0.0,56.3,2,8.46,1,0.0,6.62,0.79,5.67,5.433,46.18,10.12,0.1798,Midwest → Zone 6
SHP100064,2025-11-17,ORD803729,CR003,USPS,Ground Advantage,South,4,2.7,6,10,14,6.5,31.07,4.08,0.0,0.0,0.0,0.0,0.0,35.15,7,6.04,1,0.0,5.41,3.8,4.78,4.688,30.47,4.68,0.1331,South → Zone 4
SHP100065,2025-01-08,ORD800072,CR003,USPS,Ground Advantage,South,6,8.65,17,22,7,19.0,121.6,17.79,4.95,6.75,0.0,0.0,0.0,151.09,5,18.83,1,11.7,7.95,10.35,6.4,6.28,131.02,20.07,0.1328,South → Zone 6
SHP100066,2024-03-10,ORD803874,CR001,UPS,Ground,Midwest,4,9.22,21,6,25,23.0,205.62,28.08,4.95,0.0,18.5,0.0,0.0,257.15,3,22.66,1,23.45,11.18,13.78,8.94,8.021,207.93,49.22,0.1914,Midwest → Zone 4
SHP100067,2024-04-25,ORD802102,CR004,XPO LTL,Standard LTL,Midwest,6,105.56,30,46,48,477.0,422.14,47.97,0.0,0.0,0.0,0.0,0.0,470.12,5,476.55,1,0.0,0.99,371.44,0.885,0.838,399.73,70.39,0.1497,Midwest → Zone 6
SHP100068,2025-10-18,ORD801012,CR003,USPS,Ground Advantage,West,8,3.56,25,8,23,33.5,292.79,41.93,0.0,0.0,0.0,0.0,0.0,334.72,5,33.09,1,0.0,9.99,29.94,8.74,8.498,284.68,50.04,0.1495,West → Zone 8
SHP100069,2025-07-03,ORD801689,CR001,UPS,Ground,Midwest,3,6.24,16,5,12,7.0,38.92,6.81,4.95,0.0,0.0,0.0,0.0,50.68,3,6.91,1,4.95,7.24,0.76,5.56,5.036,40.2,10.48,0.2068,Midwest → Zone 3
SHP100070,2024-11-06,ORD800072,CR003,USPS,Ground Advantage,South,7,1.12,20,13,9,17.0,116.28,15.17,0.0,0.0,0.0,0.0,0.0,131.45,5,16.83,1,0.0,7.73,15.88,6.84,6.59,112.03,19.42,0.1477,South → Zone 7
SHP100071,2025-11-05,ORD802530,CR002,FedEx,Ground,South,4,19.89,13,5,25,20.0,184.0,27.33,4.95,0.0,0.0,0.0,0.0,216.28,3,11.69,1,4.95,10.81,0.11,9.2,8.348,171.91,44.37,0.2052,South → Zone 4
SHP100072,2024-01-25,ORD802710,CR001,UPS,Ground,Northeast,7,1.71,15,16,17,29.5,314.47,38.43,0.0,6.75,0.0,12.0,0.0,371.65,4,29.35,1,18.75,12.6,27.79,10.66,9.772,307.02,64.63,0.1739,Northeast → Zone 7
SHP100073,2025-05-31,ORD800399,CR002,FedEx,Ground,Northeast,3,7.99,18,12,22,34.5,297.04,31.48,0.0,0.0,0.0,0.0,0.0,328.52,2,34.19,1,0.0,9.52,26.51,8.61,7.8,269.1,59.42,0.1809,Northeast → Zone 3
SHP100074,2024-09-16,ORD802139,CR001,UPS,Ground,South,3,5.04,9,10,21,14.0,91.0,15.55,4.95,0.0,0.0,0.0,0.0,111.5,3,13.6,1,4.95,7.96,8.96,6.5,5.887,87.37,24.13,0.2164,South → Zone 3
SHP100075,2025-03-30,ORD800241,CR003,USPS,Ground Advantage,Midwest,4,5.17,24,25,9,39.0,271.44,43.65,4.95,0.0,0.0,0.0,0.0,320.04,1,38.85,1,4.95,8.21,33.83,6.96,6.806,270.38,49.66,0.1552,Midwest → Zone 4
SHP100076,2025-11-23,ORD802444,CR003,USPS,Ground Advantage,Northeast,7,9.77,23,24,7,28.0,232.4,27.77,0.0,0.0,0.0,0.0,0.0,260.17,3,27.8,1,0.0,9.29,18.23,8.3,8.13,227.64,32.53,0.125,Northeast → Zone 7
SHP100077,2024-07-10,ORD804026,CR001,UPS,Ground,South,2,3.36,4,13,21,8.0,39.92,6.87,4.95,0.0,0.0,0.0,0.0,51.74,4,7.86,1,4.95,6.47,4.64,4.99,4.61,41.83,9.91,0.1915,South → Zone 2
SHP100078,2024-03-19,ORD801674,CR002,FedEx,2Day,West,7,4.75,14,4,16,6.5,81.38,8.82,4.95,0.0,0.0,0.0,0.0,95.15,3,6.45,1,4.95,14.64,1.75,12.52,11.129,77.29,17.86,0.1877,West → Zone 7
SHP100079,2024-07-29,ORD803009,CR001,UPS,Ground,Midwest,2,7.34,25,11,13,26.0,202.8,21.61,0.0,0.0,0.0,0.0,0.0,224.41,4,25.72,1,0.0,8.63,18.66,7.8,7.081,184.11,40.3,0.1796,Midwest → Zone 2
SHP100080,2025-07-14,ORD800522,CR001,UPS,Ground,Northeast,4,7.62,13,24,7,16.0,113.12,20.18,0.0,0.0,0.0,0.0,0.0,133.3,5,15.71,1,0.0,8.33,8.38,7.07,6.375,102.0,31.3,0.2348,Northeast → Zone 4
SHP100081,2024-09-29,ORD801567,CR001,UPS,Ground,South,4,12.22,21,25,23,87.0,1266.72,138.98,4.95,0.0,0.0,0.0,0.0,1410.65,3,86.87,1,4.95,16.21,74.78,14.56,13.444,1174.58,236.07,0.1673,South → Zone 4
SHP100082,2024-02-08,ORD803868,CR003,USPS,Ground Advantage,Midwest,3,6.41,11,17,10,13.5,68.31,7.13,4.95,0.0,0.0,0.0,0.0,80.39,3,13.45,1,4.95,5.95,7.09,5.06,4.914,71.29,9.1,0.1132,Midwest → Zone 3
SHP100083,2025-06-24,ORD801304,CR001,UPS,Next Day Air,Midwest,5,21.47,15,16,25,43.5,827.81,121.88,4.95,0.0,0.0,0.0,0.0,954.63,4,43.17,1,4.95,21.95,22.03,19.03,17.419,762.68,191.95,0.2011,Midwest → Zone 5
SHP100084,2024-04-20,ORD802159,CR002,FedEx,Express Saver,West,3,11.37,6,13,5,11.5,103.84,15.0,0.0,0.0,0.0,0.0,0.0,118.84,2,2.81,1,0.0,10.33,0.13,9.03,8.169,93.94,24.9,0.2095,West → Zone 3
SHP100085,2025-05-14,ORD800697,CR003,USPS,Priority Mail,South,6,9.95,17,17,5,10.5,95.44,14.72,0.0,0.0,0.0,0.0,0.0,110.17,3,10.4,1,0.0,10.49,0.55,9.09,8.75,91.88,18.29,0.166,South → Zone 6
SHP100086,2025-01-15,ORD802947,CR003,USPS,Ground Advantage,Northeast,6,10.31,10,24,13,22.5,176.62,22.69,0.0,6.75,0.0,0.0,0.0,206.06,4,22.45,1,6.75,9.16,12.19,7.85,7.675,179.44,26.62,0.1292,Northeast → Zone 6
SHP100087,2025-06-19,ORD802066,CR003,USPS,Ground Advantage,South,2,3.7,20,17,22,54.0,563.76,71.45,0.0,0.0,0.0,0.0,0.0,635.21,5,53.81,1,0.0,11.76,50.3,10.44,10.043,542.32,92.89,0.1462,South → Zone 2
SHP100088,2024-12-15,ORD802171,CR002,FedEx,Ground,South,3,12.57,14,25,16,40.5,348.7,52.66,4.95,0.0,18.5,0.0,0.0,424.81,7,40.29,1,23.45,10.49,27.93,8.61,7.8,339.35,85.46,0.2012,South → Zone 3
SHP100089,2024-05-16,ORD802003,CR001,UPS,Ground,West,5,11.17,25,16,9,26.0,247.52,30.67,0.0,0.0,0.0,0.0,0.0,278.19,5,25.9,1,0.0,10.7,14.83,9.52,8.563,222.64,55.55,0.1997,West → Zone 5
SHP100090,2024-03-14,ORD801619,CR002,FedEx,Ground,Midwest,5,3.77,10,21,6,9.5,65.55,10.38,0.0,0.0,0.0,0.0,0.0,75.93,4,9.06,1,0.0,7.99,5.73,6.9,6.159,58.51,17.42,0.2294,Midwest → Zone 5
SHP100091,2025-07-01,ORD800840,CR004,XPO LTL,Standard LTL,South,6,150.62,27,33,33,212.0,176.6,24.01,0.0,0.0,0.0,0.0,0.0,200.61,6,211.53,1,0.0,0.95,61.38,0.833,0.787,166.84,33.77,0.1683,South → Zone 6
SHP100092,2025-11-26,ORD800671,CR004,XPO LTL,Standard LTL,Midwest,6,150.66,38,21,50,287.5,239.49,25.6,0.0,0.0,0.0,0.0,0.0,265.09,4,287.05,1,0.0,0.92,136.84,0.833,0.787,226.26,38.83,0.1465,Midwest → Zone 6
SHP100093,2024-05-27,ORD801931,CR003,USPS,Ground Advantage,South,3,10.99,8,24,21,29.5,192.34,30.39,4.95,0.0,0.0,0.0,0.0,227.68,6,29.01,1,4.95,7.72,18.51,6.52,6.405,193.9,33.78,0.1484,South → Zone 3
SHP100094,2025-02-28,ORD803669,CR004,XPO LTL,Standard LTL,South,5,316.04,24,39,50,337.0,278.02,30.36,0.0,0.0,0.0,0.0,0.0,308.38,6,336.69,1,0.0,0.92,20.96,0.825,0.767,258.48,49.9,0.1618,South → Zone 5
SHP100095,2025-09-01,ORD800343,CR004,XPO LTL,Standard LTL,West,7,125.91,19,27,51,188.5,168.14,23.0,0.0,0.0,0.0,0.0,0.0,191.15,6,188.22,1,0.0,1.01,62.59,0.892,0.849,160.04,31.11,0.1628,West → Zone 7
SHP100096,2024-10-20,ORD802675,CR002,FedEx,Ground,West,5,7.44,10,24,23,40.0,391.6,62.92,0.0,0.0,18.5,0.0,0.0,473.02,4,39.71,1,18.5,11.83,32.56,9.79,8.841,372.14,100.88,0.2133,West → Zone 5
SHP100097,2025-01-15,ORD803657,CR003,USPS,Priority Mail,Northeast,4,14.17,23,6,9,14.5,113.39,15.44,4.95,0.0,18.5,0.0,0.0,152.28,2,8.94,1,23.45,10.5,0.33,7.82,7.702,135.13,17.15,0.1126,Northeast → Zone 4
SHP100098,2025-05-22,ORD802924,CR002,FedEx,Ground,West,7,7.33,18,18,19,44.5,488.17,69.13,4.95,0.0,0.0,0.0,0.0,562.25,4,44.29,1,4.95,12.63,37.17,10.97,9.866,443.99,118.26,0.2103,West → Zone 7
