shipment_id,ship_date,order_id,carrier_id,carrier_name,service_level,origin_region,destination_zone,package_weight_lb,package_length_in,package_width_in,package_height_in,billed_weight_lb,base_cost,fuel_surcharge,residential_fee,delivery_area_fee,oversized_fee,address_correction_fee,ltl_handling_fee,total_shipping_cost,delivered_days
SHP100013,2025-09-07,ORD804146,CR002,FedEx,Ground,Midwest,7,16.05,15,15,7,16.5,149.16,24.34,4.95,0.0,0.0,0.0,0.0,178.45,3
SHP100014,2024-10-22,ORD800574,CR003,USPS,Ground Advantage,South,5,4.65,4,25,22,16.0,95.2,12.56,4.95,0.0,0.0,0.0,0.0,112.71,1
SHP100015,2025-08-24,ORD804158,CR001,UPS,Ground,South,7,5.48,20,14,15,30.5,325.13,38.97,0.0,6.75,0.0,0.0,0.0,370.85,3
SHP100016,2025-10-27,ORD800722,CR004,XPO LTL,Standard LTL,South,2,215.72,24,18,49,216.0,128.09,20.49,0.0,0.0,0.0,0.0,0.0,148.58,4
SHP100017,2025-10-31,ORD803335,CR001,UPS,Ground,West,6,2.93,21,4,17,10.5,86.31,12.27,4.95,0.0,0.0,0.0,0.0,103.53,5
SHP100018,2025-10-04,ORD803310,CR001,UPS,Ground,Midwest,2,5.84,21,10,11,17.0,100.81,11.87,4.95,0.0,0.0,0.0,0.0,117.63,1
SHP100019,2024-02-20,ORD800774,CR001,UPS,Ground,Midwest,8,7.37,17,17,14,29.5,331.29,58.16,4.95,0.0,0.0,0.0,0.0,394.39,2
SHP100020,2024-03-25,ORD801555,CR004,XPO LTL,Standard LTL,Midwest,4,98.2,22,37,28,164.0,116.77,15.22,0.0,0.0,0.0,0.0,0.0,131.99,5
SHP100021,2024-09-12,ORD802599,CR002,FedEx,Ground,Midwest,7,24.5,25,15,20,54.0,904.5,125.72,0.0,0.0,0.0,12.0,0.0,1042.22,3
SHP100022,2024-10-07,ORD801622,CR001,UPS,2nd Day Air,Northeast,7,7.88,8,14,9,8.0,91.12,9.97,0.0,6.75,0.0,0.0,0.0,107.84,4
SHP100023,2024-12-07,ORD803067,CR003,USPS,Priority Mail,West,3,11.49,15,16,24,41.5,384.29,66.54,4.95,0.0,0.0,0.0,0.0,455.78,1
SHP100024,2025-12-05,ORD801762,CR004,XPO LTL,Standard LTL,West,6,181.22,51,41,39,587.0,560.58,65.7,0.0,0.0,0.0,0.0,24.0,650.28,4
SHP100025,2025-05-21,ORD803569,CR001,UPS,Ground,West,5,2.11,12,11,20,19.0,145.16,22.7,0.0,0.0,0.0,0.0,0.0,167.86,2
SHP100026,2024-06-20,ORD801750,CR001,UPS,Ground,Midwest,3,15.08,20,13,20,37.5,313.87,44.99,0.0,0.0,0.0,0.0,0.0,358.87,5
SHP100027,2025-12-10,ORD800390,CR003,USPS,Ground Advantage,Northeast,2,5.51,12,16,18,25.0,151.75,22.32,0.0,0.0,0.0,0.0,0.0,174.07,3
SHP100028,2025-09-20,ORD800130,CR001,UPS,Ground,Midwest,4,19.65,23,10,6,20.0,178.8,29.74,4.95,0.0,0.0,0.0,0.0,213.49,2
SHP100029,2024-07-01,ORD801804,CR002,FedEx,Express Saver,South,5,5.86,25,16,21,60.5,1271.71,170.59,0.0,0.0,0.0,0.0,0.0,1442.3,7
SHP100030,2025-02-19,ORD803500,CR001,UPS,Ground,South,3,7.63,15,18,13,25.5,213.43,27.09,4.95,0.0,0.0,0.0,0.0,245.47,1
SHP100031,2025-10-31,ORD800938,CR002,FedEx,Ground,Midwest,5,4.96,24,17,18,53.0,825.21,107.89,0.0,0.0,18.5,0.0,0.0,951.6,5
SHP100032,2025-03-15,ORD803845,CR002,FedEx,2Day,West,5,6.93,25,24,22,95.0,2292.35,271.54,4.95,0.0,0.0,0.0,0.0,2568.84,5
SHP100033,2024-02-23,ORD800892,CR003,USPS,Priority Mail,South,5,4.52,13,6,21,12.0,101.4,18.22,0.0,0.0,0.0,0.0,0.0,119.62,4
SHP100034,2024-11-24,ORD800974,CR003,USPS,Ground Advantage,Northeast,2,2.19,6,5,15,3.5,12.56,1.59,0.0,0.0,0.0,0.0,0.0,14.15,3
SHP100035,2024-09-07,ORD803930,CR002,FedEx,Ground,West,7,4.51,16,8,16,15.0,135.6,18.93,4.95,0.0,0.0,0.0,0.0,159.48,3
SHP100036,2024-10-15,ORD802719,CR003,USPS,Ground Advantage,South,3,13.63,13,7,9,14.0,70.84,12.08,0.0,0.0,0.0,0.0,0.0,82.92,5
SHP100037,2025-10-31,ORD801007,CR001,UPS,Ground,Northeast,4,11.13,15,10,5,11.5,81.31,12.14,0.0,0.0,0.0,0.0,0.0,93.45,3
SHP100038,2025-02-17,ORD801040,CR004,XPO LTL,Standard LTL,West,3,207.07,46,39,21,271.5,177.02,28.62,0.0,0.0,0.0,0.0,0.0,205.64,8
SHP100039,2025-02-04,ORD803999,CR001,UPS,Ground,West,8,16.21,21,17,18,46.5,522.2,83.54,4.95,0.0,0.0,12.0,0.0,622.68,1
SHP100040,2025-07-23,ORD803530,CR004,XPO LTL,Standard LTL,South,4,333.25,32,46,46,487.5,372.94,62.35,0.0,0.0,0.0,0.0,0.0,435.29,4
SHP100041,2025-01-16,ORD801855,CR002,FedEx,2Day,West,4,7.5,23,9,22,33.0,470.58,84.1,4.95,0.0,0.0,0.0,0.0,559.63,2
SHP100042,2025-06-07,ORD802946,CR002,FedEx,Ground,Northeast,5,5.57,11,18,17,24.5,239.85,24.33,0.0,0.0,0.0,0.0,0.0,264.18,6
SHP100043,2025-06-10,ORD800583,CR001,UPS,Ground,South,4,5.28,7,12,9,5.5,33.77,3.81,0.0,0.0,0.0,0.0,0.0,37.58,4
SHP100044,2025-12-17,ORD803117,CR002,FedEx,Ground,Northeast,8,11.34,14,16,4,11.5,110.75,19.12,0.0,0.0,0.0,0.0,0.0,129.86,2
SHP100045,2025-08-14,ORD803174,CR001,UPS,Ground,Northeast,5,7.73,21,4,5,8.0,53.68,9.16,4.95,0.0,0.0,0.0,0.0,67.79,3
SHP100046,2024-03-30,ORD800250,CR003,USPS,Ground Advantage,South,6,19.17,9,12,10,19.5,124.8,15.46,0.0,0.0,0.0,0.0,0.0,140.26,5
SHP100047,2025-04-03,ORD801266,CR002,FedEx,Express Saver,Northeast,5,14.53,6,12,13,15.0,159.3,25.17,0.0,0.0,0.0,0.0,0.0,184.47,3
SHP100048,2025-07-20,ORD804130,CR003,USPS,Priority Mail,Northeast,4,4.92,9,21,22,30.0,296.7,53.32,0.0,0.0,0.0,0.0,0.0,350.02,2
SHP100049,2024-07-25,ORD803811,CR002,FedEx,Express Saver,West,6,7.3,23,8,7,9.5,96.04,15.5,4.95,0.0,0.0,0.0,0.0,116.5,1
SHP100050,2025-02-21,ORD800374,CR002,FedEx,2Day,South,6,3.65,21,11,24,40.0,643.6,71.13,0.0,0.0,18.5,0.0,0.0,733.23,7
SHP100051,2025-07-06,ORD804023,CR003,USPS,Ground Advantage,South,3,2.22,23,5,10,8.5,36.8,4.83,0.0,0.0,0.0,0.0,0.0,41.64,3
SHP100052,2024-10-29,ORD803192,CR003,USPS,Ground Advantage,Midwest,4,4.8,12,4,8,5.0,23.9,3.57,0.0,0.0,0.0,0.0,0.0,27.47,2
SHP100053,2025-11-17,ORD801043,CR002,FedEx,Express Saver,Northeast,3,1.19,18,18,9,21.0,244.23,26.61,4.95,0.0,0.0,0.0,0.0,275.79,4
SHP100054,2024-01-01,ORD803249,CR002,FedEx,2Day,South,5,8.24,13,23,24,52.0,1254.76,194.33,4.95,0.0,0.0,0.0,0.0,1454.04,4
SHP100055,2024-10-20,ORD801198,CR001,UPS,Ground,Midwest,3,0.97,13,11,21,22.0,184.14,29.18,4.95,0.0,0.0,0.0,0.0,218.27,6
SHP100056,2024-11-06,ORD802408,CR001,UPS,Ground,Northeast,7,14.23,20,15,11,24.0,255.84,44.39,0.0,0.0,0.0,0.0,0.0,300.23,4
SHP100057,2024-08-07,ORD801667,CR002,FedEx,Ground,Midwest,3,5.38,19,16,12,26.5,228.16,28.09,4.95,0.0,0.0,0.0,0.0,261.2,5
SHP100058,2025-03-29,ORD803338,CR003,USPS,Ground Advantage,Midwest,6,6.05,10,24,18,31.5,247.27,36.79,4.95,0.0,0.0,0.0,0.0,289.02,4
SHP100059,2025-09-13,ORD803364,CR003,USPS,Ground Advantage,South,5,15.48,11,19,5,15.5,92.23,9.41,4.95,0.0,0.0,0.0,0.0,106.59,3
SHP100060,2024-02-12,ORD800372,CR003,USPS,Ground Advantage,South,3,13.11,14,22,18,40.0,260.8,36.08,4.95,0.0,0.0,0.0,0.0,301.83,4
SHP100061,2025-06-22,ORD803654,CR002,FedEx,Ground,South,8,9.54,21,5,20,15.5,149.27,24.76,4.95,6.75,0.0,0.0,0.0,185.72,5
SHP100062,2024-08-28,ORD800009,CR001,UPS,Next Day Air,Northeast,8,20.1,16,13,18,27.0,606.42,89.83,0.0,0.0,0.0,0.0,0.0,696.25,2
SHP100063,2025-09-24,ORD801462,CR003,USPS,Ground Advantage,Midwest,6,7.71,8,7,21,8.5,48.2,8.1,0.0,0.0,0.0,0.0,0.0,56.3,2
SHP100064,2025-11-17,ORD803729,CR003,USPS,Ground Advantage,South,4,2.7,6,10,14,6.5,31.07,4.08,0.0,0.0,0.0,0.0,0.0,35.15,7
SHP100065,2025-01-08,ORD800072,CR003,USPS,Ground Advantage,South,6,8.65,17,22,7,19.0,121.6,17.79,4.95,6.75,0.0,0.0,0.0,151.09,5
SHP100066,2024-03-10,ORD803874,CR001,UPS,Ground,Midwest,4,9.22,21,6,25,23.0,205.62,28.08,4.95,0.0,18.5,0.0,0.0,257.15,3
SHP100067,2024-04-25,ORD802102,CR004,XPO LTL,Standard LTL,Midwest,6,105.56,30,46,48,477.0,422.14,47.97,0.0,0.0,0.0,0.0,0.0,470.12,5
SHP100068,2025-10-18,ORD801012,CR003,USPS,Ground Advantage,West,8,3.56,25,8,23,33.5,292.79,41.93,0.0,0.0,0.0,0.0,0.0,334.72,5
SHP100069,2025-07-03,ORD801689,CR001,UPS,Ground,Midwest,3,6.24,16,5,12,7.0,38.92,6.81,4.95,0.0,0.0,0.0,0.0,50.68,3
SHP100070,2024-11-06,ORD800072,CR003,USPS,Ground Advantage,South,7,1.12,20,13,9,17.0,116.28,15.17,0.0,0.0,0.0,0.0,0.0,131.45,5
SHP100071,2025-11-05,ORD802530,CR002,FedEx,Ground,South,4,19.89,13,5,25,20.0,184.0,27.33,4.95,0.0,0.0,0.0,0.0,216.28,3
SHP100072,2024-01-25,ORD802710,CR001,UPS,Ground,Northeast,7,1.71,15,16,17,29.5,314.47,38.43,0.0,6.75,0.0,12.0,0.0,371.65,4
SHP100073,2025-05-31,ORD800399,CR002,FedEx,Ground,Northeast,3,7.99,18,12,22,34.5,297.04,31.48,0.0,0.0,0.0,0.0,0.0,328.52,2
SHP100074,2024-09-16,ORD802139,CR001,UPS,Ground,South,3,5.04,9,10,21,14.0,91.0,15.55,4.95,0.0,0.0,0.0,0.0,111.5,3
SHP100075,2025-03-30,ORD800241,CR003,USPS,Ground Advantage,Midwest,4,5.17,24,25,9,39.0,271.44,43.65,4.95,0.0,0.0,0.0,0.0,320.04,1
SHP100076,2025-11-23,ORD802444,CR003,USPS,Ground Advantage,Northeast,7,9.77,23,24,7,28.0,232.4,27.77,0.0,0.0,0.0,0.0,0.0,260.17,3
SHP100077,2024-07-10,ORD804026,CR001,UPS,Ground,South,2,3.36,4,13,21,8.0,39.92,6.87,4.95,0.0,0.0,0.0,0.0,51.74,4
SHP100078,2024-03-19,ORD801674,CR002,FedEx,2Day,West,7,4.75,14,4,16,6.5,81.38,8.82,4.95,0.0,0.0,0.0,0.0,95.15,3
SHP100079,2024-07-29,ORD803009,CR001,UPS,Ground,Midwest,2,7.34,25,11,13,26.0,202.8,21.61,0.0,0.0,0.0,0.0,0.0,224.41,4
SHP100080,2025-07-14,ORD800522,CR001,UPS,Ground,Northeast,4,7.62,13,24,7,16.0,113.12,20.18,0.0,0.0,0.0,0.0,0.0,133.3,5
SHP100081,2024-09-29,ORD801567,CR001,UPS,Ground,South,4,12.22,21,25,23,87.0,1266.72,138.98,4.95,0.0,0.0,0.0,0.0,1410.65,3
SHP100082,2024-02-08,ORD803868,CR003,USPS,Ground Advantage,Midwest,3,6.41,11,17,10,13.5,68.31,7.13,4.95,0.0,0.0,0.0,0.0,80.39,3
SHP100083,2025-06-24,ORD801304,CR001,UPS,Next Day Air,Midwest,5,21.47,15,16,25,43.5,827.81,121.88,4.95,0.0,0.0,0.0,0.0,954.63,4
SHP100084,2024-04-20,ORD802159,CR002,FedEx,Express Saver,West,3,11.37,6,13,5,11.5,103.84,15.0,0.0,0.0,0.0,0.0,0.0,118.84,2
SHP100085,2025-05-14,ORD800697,CR003,USPS,Priority Mail,South,6,9.95,17,17,5,10.5,95.44,14.72,0.0,0.0,0.0,0.0,0.0,110.17,3
SHP100086,2025-01-15,ORD802947,CR003,USPS,Ground Advantage,Northeast,6,10.31,10,24,13,22.5,176.62,22.69,0.0,6.75,0.0,0.0,0.0,206.06,4
SHP100087,2025-06-19,ORD802066,CR003,USPS,Ground Advantage,South,2,3.7,20,17,22,54.0,563.76,71.45,0.0,0.0,0.0,0.0,0.0,635.21,5
SHP100088,2024-12-15,ORD802171,CR002,FedEx,Ground,South,3,12.57,14,25,16,40.5,348.7,52.66,4.95,0.0,18.5,0.0,0.0,424.81,7
SHP100089,2024-05-16,ORD802003,CR001,UPS,Ground,West,5,11.17,25,16,9,26.0,247.52,30.67,0.0,0.0,0.0,0.0,0.0,278.19,5
SHP100090,2024-03-14,ORD801619,CR002,FedEx,Ground,Midwest,5,3.77,10,21,6,9.5,65.55,10.38,0.0,0.0,0.0,0.0,0.0,75.93,4
SHP100091,2025-07-01,ORD800840,CR004,XPO LTL,Standard LTL,South,6,150.62,27,33,33,212.0,176.6,24.01,0.0,0.0,0.0,0.0,0.0,200.61,6
SHP100092,2025-11-26,ORD800671,CR004,XPO LTL,Standard LTL,Midwest,6,150.66,38,21,50,287.5,239.49,25.6,0.0,0.0,0.0,0.0,0.0,265.09,4
SHP100093,2024-05-27,ORD801931,CR003,USPS,Ground Advantage,South,3,10.99,8,24,21,29.5,192.34,30.39,4.95,0.0,0.0,0.0,0.0,227.68,6
SHP100094,2025-02-28,ORD803669,CR004,XPO LTL,Standard LTL,South,5,316.04,24,39,50,337.0,278.02,30.36,0.0,0.0,0.0,0.0,0.0,308.38,6
SHP100095,2025-09-01,ORD800343,CR004,XPO LTL,Standard LTL,West,7,125.91,19,27,51,188.5,168.14,23.0,0.0,0.0,0.0,0.0,0.0,191.15,6
SHP100096,2024-10-20,ORD802675,CR002,FedEx,Ground,West,5,7.44,10,24,23,40.0,391.6,62.92,0.0,0.0,18.5,0.0,0.0,473.02,4
SHP100097,2025-01-15,ORD803657,CR003,USPS,Priority Mail,Northeast,4,14.17,23,6,9,14.5,113.39,15.44,4.95,0.0,18.5,0.0,0.0,152.28,2
SHP100098,2025-05-22,ORD802924,CR002,FedEx,Ground,West,7,7.33,18,18,19,44.5,488.17,69.13,4.95,0.0,0.0,0.0,0.0,562.25,4
SHP100099,2025-09-17,ORD803958,CR002,FedEx,Ground,West,5,7.6,19,14,8,15.5,121.83,18.18,4.95,0.0,0.0,0.0,0.0,144.96,5
SHP100100,2025-07-28,ORD803547,CR001,UPS,Ground,West,5,6.04,9,8,6,6.5,43.62,6.87,0.0,0.0,0.0,0.0,0.0,50.49,4
SHP100101,2025-01-06,ORD801715,CR001,UPS,Ground,West,4,2.31,25,6,15,16.5,116.66,13.29,0.0,0.0,0.0,0.0,0.0,129.94,3
SHP100102,2024-11-02,ORD802295,CR003,USPS,Ground Advantage,Northeast,7,18.38,25,20,8,29.0,240.7,40.32,4.95,6.75,0.0,0.0,0.0,292.72,3
SHP100103,2025-03-29,ORD800459,CR001,UPS,2nd Day Air,Northeast,4,14.06,18,9,18,21.0,272.37,27.96,4.95,0.0,0.0,0.0,0.0,305.28,6
SHP100104,2025-01-27,ORD800595,CR002,FedEx,Ground,Northeast,4,2.26,5,17,9,6.0,37.86,4.94,4.95,0.0,0.0,0.0,0.0,47.75,5
SHP100105,2025-02-27,ORD802990,CR003,USPS,Ground Advantage,South,7,5.5,13,22,12,25.0,207.5,37.05,0.0,0.0,0.0,0.0,0.0,244.55,4
SHP100106,2024-04-29,ORD804008,CR002,FedEx,Ground,West,5,13.04,4,23,17,13.5,106.11,13.13,4.95,0.0,0.0,0.0,0.0,124.19,6
SHP100107,2024-09-11,ORD801058,CR004,XPO LTL,Standard LTL,West,6,253.9,37,20,50,266.5,221.99,31.53,0.0,0.0,0.0,0.0,0.0,253.52,3
SHP100108,2025-12-28,ORD803740,CR001,UPS,Ground,Midwest,6,19.25,25,15,17,46.0,464.14,68.76,0.0,0.0,0.0,0.0,0.0,532.9,4
SHP100109,2025-03-30,ORD802140,CR001,UPS,2nd Day Air,South,7,6.62,11,9,9,7.0,79.73,7.99,4.95,0.0,0.0,0.0,0.0,92.67,3
SHP100110,2025-02-27,ORD803828,CR002,FedEx,Ground,Midwest,2,1.37,9,20,17,22.5,180.67,30.11,0.0,0.0,0.0,0.0,0.0,210.79,3
SHP100111,2024-11-13,ORD803628,CR001,UPS,Ground,South,5,5.57,24,22,10,38.0,361.76,37.03,0.0,0.0,18.5,0.0,0.0,417.29,6
SHP100112,2025-09-11,ORD800726,CR003,USPS,Ground Advantage,Northeast,6,14.61,19,4,16,15.0,96.0,16.93,0.0,0.0,0.0,12.0,0.0,124.93,4
SHP100113,2025-10-19,ORD801842,CR002,FedEx,Ground,Midwest,5,3.65,23,20,4,13.5,106.11,13.34,0.0,0.0,0.0,0.0,0.0,119.45,4
SHP100114,2024-09-22,ORD804093,CR001,UPS,Ground,South,3,6.42,6,23,9,9.0,50.04,8.62,4.95,0.0,0.0,0.0,0.0,63.61,1
SHP100115,2024-08-22,ORD801823,CR002,FedEx,Ground,West,7,9.18,9,24,25,39.0,427.83,56.61,4.95,0.0,0.0,0.0,0.0,489.39,2
SHP100116,2024-06-04,ORD802606,CR003,USPS,Ground Advantage,Northeast,5,3.18,25,7,4,5.5,28.71,4.05,4.95,0.0,0.0,0.0,0.0,37.71,5
SHP100117,2025-10-30,ORD801900,CR001,UPS,Ground,West,5,17.85,20,9,8,18.0,137.52,23.01,0.0,0.0,0.0,0.0,0.0,160.53,2
SHP100118,2025-01-10,ORD802169,CR002,FedEx,Ground,Northeast,4,5.21,17,25,14,43.0,395.6,44.62,4.95,0.0,0.0,0.0,0.0,445.17,3
SHP100119,2024-06-18,ORD802390,CR002,FedEx,Ground,South,4,7.86,18,23,20,60.0,898.8,114.36,4.95,0.0,18.5,0.0,0.0,1036.61,4
SHP100120,2025-07-07,ORD803170,CR002,FedEx,Ground,West,7,8.72,15,24,15,39.0,427.83,61.43,4.95,0.0,0.0,0.0,0.0,494.21,5
SHP100121,2024-04-13,ORD803732,CR003,USPS,Ground Advantage,Midwest,4,4.38,8,7,25,10.5,57.85,10.25,0.0,0.0,0.0,0.0,0.0,68.1,5
SHP100122,2025-05-01,ORD801610,CR003,USPS,Ground Advantage,Northeast,8,10.75,15,9,20,19.5,142.16,20.05,4.95,0.0,0.0,0.0,0.0,167.15,3
SHP100123,2024-08-03,ORD802384,CR002,FedEx,2Day,West,6,19.72,21,22,18,60.0,1502.4,219.17,0.0,6.75,0.0,0.0,0.0,1728.32,5
SHP100124,2024-05-26,ORD803735,CR001,UPS,Ground,Midwest,6,3.85,19,21,25,72.0,1130.4,178.4,0.0,6.75,0.0,0.0,0.0,1315.55,5
SHP100125,2024-10-12,ORD802235,CR001,UPS,Next Day Air,Midwest,4,14.79,10,6,4,15.0,212.1,31.95,4.95,0.0,0.0,12.0,0.0,261.0,6
SHP100126,2024-05-06,ORD800187,CR002,FedEx,Ground,Midwest,5,11.18,5,17,17,11.5,90.39,11.98,4.95,0.0,0.0,0.0,0.0,107.32,2
SHP100127,2024-10-16,ORD802555,CR004,XPO LTL,Standard LTL,West,2,293.93,51,33,19,294.0,174.34,23.05,0.0,0.0,0.0,0.0,0.0,197.4,4
SHP100128,2025-03-26,ORD802384,CR003,USPS,Ground Advantage,Midwest,4,13.39,10,24,10,17.5,96.42,14.58,0.0,0.0,0.0,0.0,0.0,111.01,4
SHP100129,2025-06-27,ORD804045,CR002,FedEx,Ground,West,7,9.07,17,23,24,68.0,1139.0,164.24,4.95,6.75,0.0,0.0,0.0,1314.94,3
SHP100130,2024-12-19,ORD802624,CR001,UPS,Ground,Northeast,6,6.02,20,21,25,76.0,1193.2,125.3,0.0,6.75,0.0,0.0,0.0,1325.25,3
SHP100131,2024-05-16,ORD804118,CR001,UPS,2nd Day Air,South,3,6.88,19,15,22,45.5,552.37,85.6,4.95,0.0,0.0,0.0,0.0,642.92,4
SHP100132,2024-08-22,ORD801023,CR003,USPS,Priority Mail,South,5,15.45,18,12,24,37.5,394.5,59.47,0.0,0.0,18.5,0.0,0.0,472.47,3
SHP100133,2024-10-29,ORD800161,CR002,FedEx,Express Saver,South,6,9.13,5,19,12,9.5,96.04,13.23,0.0,6.75,0.0,0.0,0.0,116.03,4
SHP100134,2024-09-19,ORD802100,CR003,USPS,Priority Mail,Midwest,5,2.43,11,25,25,49.5,520.74,55.63,4.95,0.0,0.0,0.0,0.0,581.32,5
SHP100135,2025-06-08,ORD803904,CR001,UPS,Ground,South,7,6.51,18,9,20,23.5,250.51,30.4,0.0,0.0,0.0,0.0,0.0,280.91,3
SHP100136,2024-06-04,ORD804025,CR001,UPS,Ground,Northeast,6,3.29,25,24,13,56.5,887.05,145.98,4.95,6.75,18.5,0.0,0.0,1063.23,5
SHP100137,2025-09-29,ORD803996,CR002,FedEx,Ground,Northeast,5,16.24,14,11,4,16.5,129.69,15.99,4.95,0.0,0.0,0.0,0.0,150.63,5
SHP100138,2025-09-01,ORD800277,CR002,FedEx,Ground,South,4,8.99,7,11,12,9.0,56.79,8.09,0.0,0.0,0.0,0.0,0.0,64.88,4
SHP100139,2025-07-24,ORD801723,CR002,FedEx,2Day,South,6,5.38,16,24,11,30.5,490.75,64.31,0.0,6.75,0.0,0.0,0.0,561.81,3
SHP100140,2024-06-07,ORD802500,CR001,UPS,Ground,Midwest,2,14.01,23,12,14,28.0,218.4,29.1,4.95,0.0,0.0,0.0,0.0,252.45,6
SHP100141,2025-07-27,ORD803563,CR002,FedEx,Ground,West,2,4.92,11,15,16,19.0,115.9,19.41,0.0,0.0,0.0,0.0,0.0,135.31,5
SHP100142,2024-09-28,ORD801283,CR002,FedEx,Ground,West,5,7.66,15,14,8,12.5,98.25,14.49,4.95,0.0,0.0,0.0,0.0,117.69,7
SHP100143,2025-07-24,ORD803115,CR002,FedEx,Ground,Northeast,5,15.67,7,18,4,16.0,125.76,20.44,0.0,0.0,0.0,0.0,0.0,146.2,5
SHP100144,2024-03-14,ORD804105,CR001,UPS,Ground,West,7,6.06,24,13,11,25.0,266.5,42.19,4.95,0.0,18.5,0.0,0.0,332.14,4
SHP100145,2025-03-13,ORD800692,CR003,USPS,Priority Mail,South,5,2.26,6,6,20,5.5,40.81,4.98,0.0,0.0,0.0,0.0,0.0,45.79,3
SHP100146,2024-11-19,ORD803954,CR003,USPS,Priority Mail,South,4,4.55,25,5,16,14.5,113.39,15.25,0.0,0.0,0.0,0.0,0.0,128.64,3
SHP100147,2025-11-30,ORD802971,CR003,USPS,Priority Mail,Midwest,7,14.95,17,7,13,15.0,145.8,20.93,4.95,6.75,0.0,0.0,0.0,178.43,4
SHP100148,2025-04-19,ORD803252,CR004,XPO LTL,Expedited LTL,South,4,80.0,51,46,41,692.0,722.45,119.91,0.0,0.0,0.0,0.0,0.0,842.36,5
SHP100149,2024-10-05,ORD801987,CR002,FedEx,Ground,West,6,9.0,25,9,8,13.0,109.85,12.75,4.95,6.75,0.0,0.0,0.0,134.3,2
SHP100150,2024-02-07,ORD802551,CR002,FedEx,Ground,Midwest,3,11.77,8,19,22,24.5,210.94,27.35,0.0,0.0,0.0,0.0,0.0,238.3,7
SHP100151,2024-11-05,ORD800152,CR002,FedEx,Ground,Northeast,4,22.01,13,5,12,22.5,207.0,31.11,4.95,0.0,0.0,0.0,0.0,243.06,6
SHP100152,2024-04-11,ORD802524,CR002,FedEx,Ground,Northeast,8,7.49,18,10,9,12.0,115.56,17.98,0.0,0.0,0.0,0.0,0.0,133.54,5
SHP100153,2025-08-04,ORD801151,CR003,USPS,Priority Mail,West,5,11.24,15,19,18,37.0,389.24,56.03,4.95,0.0,0.0,0.0,0.0,450.22,3
SHP100154,2025-01-03,ORD802240,CR004,XPO LTL,Expedited LTL,South,5,238.73,46,36,23,274.5,265.17,47.03,0.0,0.0,0.0,0.0,0.0,312.2,3
SHP100155,2024-12-01,ORD804068,CR001,UPS,2nd Day Air,Northeast,7,12.36,15,19,14,29.0,448.34,50.47,4.95,6.75,0.0,0.0,0.0,510.51,4
SHP100156,2024-07-24,ORD803104,CR002,FedEx,Express Saver,South,4,5.81,24,14,8,19.5,191.49,28.67,4.95,0.0,0.0,0.0,0.0,225.11,2
SHP100157,2025-05-03,ORD802761,CR001,UPS,Ground,West,6,8.64,7,4,16,9.0,65.52,10.4,4.95,0.0,0.0,0.0,0.0,80.87,4
